School,Color 1,Color 2,Mascot,Chant,TeamRep
UGA- University of Georgia,Bulldog Red- #BA0C2F,Black,Bulldog,Go dawgs! Sic 'em,https://choa.rallyup.com/teammemberfullpage/be9793
UA- University of Alabama,UA Crimson- #990000,Warm grey- #eeeeee,Crimson tide,Roll Tide,https://choa.rallyup.com/TeammemberFullPage/3c49c9
AU- Auburn University,Primary Orange- #dd550c,Primary blue- #03244d,Tiger,War Eagle,https://choa.rallyup.com/TeammemberFullPage/85387c
Ole Miss- University of Mississippi,Red- #c8102e,Blue- #00205b,Rebels,Go Rebs/ hotty toddy,https://choa.rallyup.com/teammemberfullpage/187516
UARK- University of Arkansas,Cardinal Red- #9D2235,White,Hog,Woo pig sooie,https://choa.rallyup.com/teammemberfullpage/5d2625
UF- University of Florida ,Orange- #FA4616,Blue- #0021A5,Gator,Go gators,https://choa.rallyup.com/teammemberfullpage/63c600
UK- University of Kentucky,Blue- #0033A0,White,Wildcat,Go big blue,https://choa.rallyup.com/teammemberfullpage/cf2c3f
LSU- Louisiana State University,Purple- #461D7C,Gold- #FDD023,Tiger,Geaux Tigers,https://choa.rallyup.com/teammemberfullpage/82c7f5
MSU- Mississippi State University,Maroon- #660000,Light grey- #CCCCCC,Bulldog,Hail state,https://choa.rallyup.com/teammemberfullpage/58d9b3
Mizzou- University of Missouri,Gold- #F1b82d,Black,Tiger,,https://choa.rallyup.com/teammemberfullpage/a84835
USC- University of South Carolina ,Garnet- #73000A,Black,Gamecock,Go cocks,https://choa.rallyup.com/teammemberfullpage/dbf41a
UT- University of Tennessee,Orange- #FF8200,White,Volunteer,Go Vols,https://choa.rallyup.com/teammemberfullpage/50e7d2
TAMU- Texas A&M University,Aggie maroon- #500000,White,Aggies,Gig 'em,https://choa.rallyup.com/teammemberfullpage/6fd05e
Vandy- Vanderbilt University,Gold- #997F3D,Black,Commodore,Anchor down,https://choa.rallyup.com/teammemberfullpage/920a8d
CU- Clemson University,Orange- #F66733,Purple- #522D80,Tiger,Go tigers,https://choa.rallyup.com/teammemberfullpage/20e14c
BC- Boston College,Maroon- #862633,Gold- #8b6f4e,Eagle,Go eagles,https://choa.rallyup.com/teammemberfullpage/26f09d
Duke- Duke University,Blue- #001A57,White,Blue Devil,Go Duke,https://choa.rallyup.com/teammemberfullpage/721ba0
FSU- Florida State University,Garnet- #782F40,Gold- #CEB888,Seminole,Go 'noles,https://choa.rallyup.com/teammemberfullpage/c5d8d3
GT- Georgia Tech,Gold- #CS9353,Navy- #00254C,Yellow jacket,Wreck 'em,https://choa.rallyup.com/teammemberfullpage/ed8cbe
NC State- North Carolina State,Red- #CC0000,Black,Wolfpack,Go pack,https://choa.rallyup.com/teammemberfullpage/1ecccf
University of Miami ,Green- #005030,Orange- #f47321,Hurricane,Go canes,https://choa.rallyup.com/teammemberfullpage/79214f
UNC- University of North Carolina,Carolina Blue- #7BAFD4,White,Tarheel,Go heels,https://choa.rallyup.com/teammemberfullpage/5aeeed
UVA- University of Virginia,Blue- #002F6C,Orange- #E57200,Cavalier,Go hoos,https://choa.rallyup.com/teammemberfullpage/c922c9
VT- Virginia Tech,Maroon- #660000,Orange- #FF6600,Hokie,Go hokies,https://choa.rallyup.com/teammemberfullpage/cbb318
WF- Wake Forest ,Gold- #9E7E38,Black,Demon Deacon,Go Deacs,https://choa.rallyup.com/teammemberfullpage/b9c0ac
Syracuse University,Orange-##D44500,Athletics Navy- #0D1D37,Orange,Go orange,https://choa.rallyup.com/teammemberfullpage/34214a
Louisville,AD0000,black,Cardinal,Go cards,https://choa.rallyup.com/teammemberfullpage/406033
Pittsburgh,Blue- #1c2957 ,Gold- #cdb87d ,Panthers,Go panthers ,https://choa.rallyup.com/teammemberfullpage/fd66e3
MSU- Michigan State,Green- #18453B,White,Spartans,Go spartans,https://choa.rallyup.com/teammemberfullpage/68beb1
OSU- Ohio State University,Red- #bb0000,Grey- #666666,Buckeye,O-H..I-O,https://choa.rallyup.com/teammemberfullpage/61ae90
U-M- University of Michigan,Yellow- #ffcb05,Blue- #00274c,Wolverines,Go blue,https://choa.rallyup.com/teammemberfullpage/5b4374
Penn State- Pennsylvania State University,Blue- #041e42,White,Nittany Lion,We are,https://choa.rallyup.com/teammemberfullpage/604b6e
Indiana University,Crimson- #990000,Cream- #EEEDEB,Hoosiers,,https://choa.rallyup.com/teammemberfullpage/8adbc3
University of Maryland ,Red- #c8102e,Gold- #ffcd00,Terrapin,Go terps,https://choa.rallyup.com/teammemberfullpage/e381e9
NU- Northwestern University,Purple- #4E2A84,White,Wildcat,,https://choa.rallyup.com/teammemberfullpage/a437e9
UW- University of Wisconsin ,Red- #ba0c2f,White,Badger,On Wisconsin,https://choa.rallyup.com/TeammemberFullPage/86fd90
UNL- University of Nebraska ,Scarlet- #d00000,Cream- #f5f1e7,Cornhuskers,Go huskers,https://choa.rallyup.com/teammemberfullpage/9fe5ae
University of Illinois,Blue- #131F33,Orange- #FA6300,Fighting Illini,Let's go Illini,https://choa.rallyup.com/teammemberfullpage/c09666
Purdue- Purdue University,Black,Gold- #B1810B,Boilermakers,Boiler up,https://choa.rallyup.com/teammemberfullpage/ce2a60
University of Minnesota ,Gold- #ffcc33,Maroon- #7a0019,Golden Gopher,Go gophers,https://choa.rallyup.com/teammemberfullpage/69d403
ND- Notre Dame,Gold- #c99700,Blue- #0C2340,Leprechaun/fighting Irish,Go Irish,https://choa.rallyup.com/teammemberfullpage/fcd330
